
sha                                           size path
---                                           ---- ----
fd86392b0c42b5935895dd492a73b4617f5f5f34 148372992 node_modules/@next/swc-win32…
5b6c3701eecb68fc8c1211872f90b0fab0e9757a  19112960 node_modules/@img/sharp-win3…
35cff55bc3da410c2753e9b888ec09313ce582a6  11398473 .next/cache/webpack/client-d…
cd2ad30a148895000a017a04a6f127774950267a   8629377 .next/cache/webpack/server-d…
a887b32b1f80538370b74a281ea2d19e37076a92   7968378 .next/server/vendor-chunks/n…
6ce53085da69258b662cf246ce7b67d4c1f3b9d4   7604695 .next/static/chunks/main-app…
3787e93879ca3a1c2a2b8bfc8642fd571b796061   7092707 .next/static/chunks/main.js
aacf29aa22c52be26052766768179f8267c9c6f3   2880216 .next/static/chunks/app/page…
070e03b58556b1d9e97410ee876a9120559fe397   1886720 node_modules/@unrs/resolver-…
b4dde18d4c23b1d7354e7b1b8d76b4ab36e86131   1447056 .next/server/vendor-chunks/f…
945990d47311d67587ba049c718241344880238c   1287283 node_modules/axe-core/axe.js
334cd2303d80fe87e30f3aefb60a13f53255f6fd    993888 .next/server/vendor-chunks/g…
da0affda4f3b2544621fcb786bc708bb9394b749    894969 node_modules/csstype/index.d…
a2065a5437aeebc3095da9c732828ca289748747    691464 .next/cache/webpack/server-d…
cde1eeb1294dfa09065710b69e9809339433d6a7    572498 node_modules/axe-core/axe.mi…
41acbffcf8ca87254842fd230c0d3774cb7c1ab5    433152 node_modules/@img/sharp-win3…
e76f82b1229aa2c13fdd06d03ce6cc0f4c3a29d8    432095 .next/trace
49c11d1208e51602f879c0909330956491e6fb1a    344546 node_modules/csstype/index.j…
de23d8827a2fc59581474e610121f953014ce996    327168 node_modules/@img/sharp-win3…
163c1bcfbd60cfde7bbd227c2144cbc895764d77    318402 .next/server/app/page.js
3243c9fc49b2ec58c90e7a8d250b69197ed771cc    273216 node_modules/ajv/dist/ajv.bu…
16b9b5e2e51775abaf7635cb158419feb62a365b    252259 .next/static/chunks/app-page…
c4f4fced9378b35ba710366e93e7e37e3f5cab14    248730 node_modules/@eslint/eslintr…
9de6aeecb96b5813c3f3edfb350b72b451918dd0    246227 .next/cache/webpack/client-d…
b4f281a46f85fef36f91e5826dc56f2a220d33d8    242818 node_modules/acorn/dist/acor…
9067e9bf97f84fab98ba6ee71500c8665267666b    230975 node_modules/acorn/dist/acor…
6d4408b78335e2c21b4ee55364405e14a6b7b75e    229894 .next/cache/webpack/server-d…
b4470b6d2e329d341abe536a6b814e39a8f37263    223227 package-lock.json
3303dbaabb989e436f2fdda00c15ceaba53cc9ad    197533 node_modules/@types/node/ins…
036cf8c434eddc7cd9d633212962d10f5f47f178    196548 node_modules/@types/node/cry…


